datetime,open,high,low,close,volume,Timestamp
2021-03-11,1796.8,1850.07,1725.96,1829.0,3061111.766,1615420800000
2021-03-12,1828.96,1846.59,1719.92,1767.44,2753218.247,1615507200000
2021-03-13,1767.32,1948.75,1729.33,1924.94,2763730.381,1615593600000
2021-03-14,1924.94,1935.88,1836.0,1850.54,2244662.581,1615680000000
2021-03-15,1850.5,1896.3,1729.2,1794.89,3297299.618,1615766400000
2021-03-16,1795.09,1819.76,1712.0,1807.25,2500648.806,1615852800000
2021-03-17,1807.25,1841.86,1741.95,1825.77,2164536.182,1615939200000
2021-03-18,1825.94,1853.0,1758.48,1777.54,1948941.621,1616025600000
2021-03-19,1777.55,1844.32,1733.09,1811.04,1807873.07,1616112000000
2021-03-20,1811.04,1873.84,1802.5,1807.35,1400240.86,1616198400000
2021-03-21,1807.43,1818.61,1745.02,1784.67,1569940.157,1616284800000
2021-03-22,1784.78,1809.59,1653.67,1681.69,2062250.384,1616371200000
2021-03-23,1681.66,1722.52,1652.58,1669.33,1875276.276,1616457600000
2021-03-24,1669.33,1742.43,1540.22,1582.11,2657346.906,1616544000000
2021-03-25,1582.01,1622.54,1548.56,1587.5,2454402.206,1616630400000
2021-03-26,1587.44,1701.19,1587.03,1699.13,1630204.715,1616716800000
2021-03-27,1699.21,1734.88,1668.3,1714.34,1412714.74,1616803200000
2021-03-28,1714.14,1727.5,1662.54,1688.3,1167051.376,1616889600000
2021-03-29,1688.31,1845.0,1680.04,1818.44,1936361.877,1616976000000
2021-03-30,1818.43,1863.79,1788.3,1843.43,1627666.888,1617062400000
2021-03-31,1843.43,1952.98,1771.85,1923.07,2721505.354,1617148800000
2021-04-01,1923.07,1989.11,1882.1,1969.74,2282765.6,1617235200000
2021-04-02,1969.75,2150.0,1949.94,2138.01,2782619.002,1617321600000
2021-04-03,2138.01,2144.17,2002.0,2012.63,2961945.62,1617408000000
2021-04-04,2012.64,2093.72,1980.0,2077.73,1628243.592,1617494400000
2021-04-05,2077.85,2138.61,2002.16,2110.35,2029400.255,1617580800000
2021-04-06,2110.39,2161.02,2043.89,2114.47,2216031.293,1617667200000
2021-04-07,2114.48,2133.02,1930.1,1965.4,3144081.502,1617753600000
2021-04-08,1965.4,2086.67,1950.0,2082.08,1653807.764,1617840000000
2021-04-09,2082.02,2104.83,2052.0,2068.02,1237414.829,1617926400000
2021-04-10,2068.02,2211.94,2059.03,2135.96,2077350.376,1618012800000
2021-04-11,2135.99,2171.07,2115.56,2155.05,1290245.975,1618099200000
2021-04-12,2155.07,2209.99,2101.96,2139.25,1659510.107,1618185600000
2021-04-13,2139.24,2324.0,2137.21,2303.15,2311955.605,1618272000000
2021-04-14,2303.15,2450.0,2286.04,2437.08,3370771.796,1618358400000
2021-04-15,2436.74,2548.6,2403.14,2519.85,2600911.507,1618444800000
2021-04-16,2519.85,2553.0,2298.23,2427.29,3505534.172,1618531200000
2021-04-17,2427.29,2499.26,2314.49,2319.8,2057149.939,1618617600000
2021-04-18,2319.93,2341.91,1900.0,2235.32,4275573.298,1618704000000
2021-04-19,2235.32,2278.58,2079.12,2162.75,3029523.224,1618790400000
2021-04-20,2162.76,2347.0,2052.42,2329.96,3393046.281,1618876800000
2021-04-21,2330.07,2470.0,2238.96,2358.9,3556266.081,1618963200000
2021-04-22,2359.41,2645.63,2305.0,2398.94,6698438.657,1619049600000
2021-04-23,2399.2,2443.66,2110.0,2368.67,6753400.874,1619136000000
2021-04-24,2368.66,2370.04,2156.58,2215.54,3424662.228,1619222400000
2021-04-25,2215.55,2357.0,2162.9,2320.71,3570867.777,1619308800000
2021-04-26,2320.71,2545.5,2303.42,2534.25,3507145.533,1619395200000
2021-04-27,2534.17,2683.42,2481.43,2668.39,2604067.05,1619481600000
2021-04-28,2668.28,2762.1,2562.83,2748.33,3857131.883,1619568000000
2021-04-29,2748.33,2798.0,2668.87,2759.14,2827431.929,1619654400000
2021-04-30,2759.15,2803.55,2726.88,2773.15,1961665.845,1619740800000
2021-05-01,2773.16,2958.91,2754.04,2947.01,2293998.885,1619827200000
2021-05-02,2947.0,2986.97,2856.7,2950.98,2080727.947,1619913600000
2021-05-03,2950.91,3459.8,2950.7,3433.36,5116980.548,1620000000000
2021-05-04,3433.7,3529.64,3160.01,3243.67,6940584.205,1620086400000
2021-05-05,3243.65,3552.74,3211.0,3528.49,3838631.919,1620172800000
2021-05-06,3528.74,3616.0,3380.25,3493.16,3041910.825,1620259200000
2021-05-07,3493.17,3592.0,3355.0,3480.98,2326172.061,1620345600000
